iter	Passed	Remaining
148	182	1041
149	182	1036
150	183	1032
151	184	1028
152	184	1024
153	185	1019
154	186	1015
155	187	1011
156	187	1007
157	188	1002
158	189	1001
159	192	1009
160	192	1004
161	193	1001
162	194	998
163	195	994
164	195	990
165	196	986
166	197	983
167	198	985
168	199	981
169	200	977
170	201	976
171	201	972
172	202	968
173	202	963
174	203	958
175	206	967
176	207	964
177	208	964
178	209	961
179	210	958
180	211	956
181	213	957
182	214	956
183	214	953
184	215	950
185	216	947
186	217	944
187	218	943
188	220	944
189	220	942
190	221	939
191	222	937
192	223	934
193	225	936
194	226	933
195	226	929
196	227	926
197	228	926
198	230	927
199	231	924
200	232	923
201	232	920
202	234	919
203	234	916
204	235	913
205	236	910
206	239	917
207	240	916
208	241	913
209	242	911
210	243	912
211	244	908
212	246	911
213	247	907
214	247	903
215	248	900
216	248	898
217	249	894
218	250	894
219	253	899
220	254	897
221	255	896
222	258	899
223	258	896
224	260	897
225	262	897
226	263	895
227	263	892
228	264	890
229	265	888
230	266	885
231	266	882
232	266	878
233	267	875
234	268	873
235	270	876
236	272	877
237	274	877
238	276	880
239	277	877
240	278	876
241	281	880
242	282	878
243	282	875
244	283	872
245	284	871
246	285	871
247	286	868
248	286	865
249	287	862
250	287	859
251	288	855
252	289	853
253	289	851
254	290	849
255	292	850
256	294	851
257	295	850
258	296	848
259	296	845
260	297	843
261	298	840
262	299	837
263	299	834
264	299	831
265	300	829
266	301	827
267	301	824
268	302	822
269	303	820
270	305	822
271	306	820
272	306	817
273	307	815
274	308	813
275	309	810
276	309	808
277	310	806
278	311	805
279	312	804
280	313	803
281	314	801
282	315	798
283	316	798
284	318	798
285	319	798
286	320	796
287	321	795
288	322	793
289	323	790
290	325	792
291	325	789
292	326	786
293	326	784
294	327	782
295	327	779
296	328	777
297	328	774
298	329	771
299	329	769
300	330	766
301	330	764
302	332	765
303	333	763
304	334	762
305	335	759
306	335	757
307	336	755
308	336	752
309	336	750
310	337	747
311	337	745
312	338	743
313	339	741
314	339	738
315	340	736
316	340	733
317	341	731
318	341	729
319	342	726
320	342	724
321	343	722
322	343	720
323	344	717
324	345	717
325	348	720
326	349	719
327	352	721
328	353	720
329	354	719
330	355	718
331	356	717
332	357	715
333	358	715
334	360	714
335	362	716
336	363	715
337	364	713
338	365	712
339	366	710
340	366	708
341	370	713
342	374	717
343	375	715
344	376	713
345	376	712
346	378	712
347	379	711
348	380	709
349	381	708
350	382	707
351	383	705
352	384	705
353	385	704
354	388	705
355	389	704
356	390	703
357	392	704
358	393	702
359	393	700
360	394	699
361	395	697
362	397	697
363	397	695
364	398	693
365	399	691
366	399	689
367	400	687
368	400	685
369	401	682
370	401	680
371	402	678
372	402	676
373	402	674
374	403	672
375	407	676
376	408	675
377	409	674
378	410	672
379	411	671
380	415	674
381	416	673
382	416	671
383	418	671
384	419	669
385	420	668
386	420	666
387	425	671
388	426	669
389	426	667
390	427	665
391	427	663
392	428	661
393	428	659
394	428	657
395	442	674
396	442	672
397	443	670
398	443	668
399	444	666
400	444	664
401	445	662
402	447	662
403	448	661
404	449	659
405	450	658
406	451	657
407	452	656
408	453	654
409	454	654
410	455	653
411	456	651
412	456	649
413	457	647
414	458	646
415	459	644
416	459	642
417	459	640
418	460	638
419	460	636
420	462	635
421	463	634
422	463	632
423	464	631
424	465	629
425	465	627
426	467	627
427	471	629
428	471	628
429	472	626
430	472	624
431	473	622
432	473	620
433	475	619
434	475	617
435	476	615
436	476	614
437	477	612
438	477	610
439	478	608
440	480	608
441	481	607
442	482	607
443	483	605
444	484	603
445	484	601
446	485	600
447	485	598
448	485	596
449	486	594
450	486	592
451	487	591
452	489	591
453	490	589
454	490	587
455	491	586
456	491	584
457	492	582
458	492	580
459	493	578
460	493	577
461	494	576
462	495	574
463	496	573
464	497	571
465	497	570
466	498	568
467	499	567
468	500	566
469	501	564
470	502	563
471	504	564
472	505	563
473	506	562
474	508	561
475	509	561
476	510	559
477	513	560
478	514	559
479	515	558
480	517	557
481	517	556
482	518	554
483	518	552
484	519	551
485	522	552
486	523	551
487	523	549
488	524	547
489	524	546
490	525	544
491	525	543
492	527	542
493	530	542
494	532	543
495	546	554
496	546	553
497	548	553
498	549	551
499	550	550
500	551	549
501	552	548
502	554	548
503	555	546
504	555	544
505	556	543
506	557	542
507	558	541
508	560	540
509	561	539
510	562	537
511	562	536
512	563	534
513	567	536
514	568	535
515	568	533
516	569	531
517	569	530
518	570	528
519	570	526
520	571	525
521	572	524
522	573	522
523	573	521
524	574	519
525	575	518
526	576	517
527	578	516
528	579	515
529	580	515
530	582	514
531	582	512
532	584	512
533	585	510
534	586	509
535	591	511
536	592	510
537	593	509
538	595	509
539	596	507
540	596	506
541	597	505
542	598	503
543	599	502
544	604	504
545	605	503
546	607	502
547	607	501
548	609	500
549	613	502
550	614	500
551	617	501
552	618	500
553	619	498
554	620	497
555	621	496
556	623	495
557	623	494
558	631	498
559	636	500
560	637	499
561	639	498
562	645	501
563	648	500
564	649	499
565	650	498
566	651	497
567	652	495
568	652	494
569	666	502
570	676	508
571	682	510
572	687	512
573	688	510
574	689	509
575	691	509
576	692	507
577	693	506
578	693	504
579	694	502
580	694	500
581	695	499
582	695	497
583	696	496
584	697	495
585	699	493
586	699	492
587	700	490
588	700	488
589	701	487
590	701	485
591	702	484
592	704	483
593	704	481
594	705	480
595	706	478
596	707	477
597	708	476
598	712	476
599	714	476
600	722	479
601	723	478
602	725	477
603	725	475
604	726	474
605	726	472
606	727	470
607	727	469
608	728	467
609	728	465
610	729	464
611	729	462
612	730	460
613	730	459
614	730	457
615	732	456
616	733	455
617	736	455
618	737	453
619	738	452
620	739	451
621	740	449
622	740	448
623	741	446
624	741	445
625	742	443
626	743	442
627	748	443
628	749	442
629	754	443
630	755	442
631	756	440
632	757	439
633	759	438
634	760	437
635	761	436
636	763	434
637	764	433
638	765	432
639	765	430
640	768	430
641	768	428
642	769	427
643	769	425
644	770	423
645	771	422
646	772	421
647	773	420
648	774	418
649	774	417
650	778	417
651	779	416
652	781	415
653	785	415
654	792	417
655	793	416
656	793	414
657	794	412
658	794	411
659	795	409
660	796	408
661	796	406
662	797	405
663	798	404
664	799	402
665	799	401
666	803	401
667	805	400
668	808	400
669	809	398
670	810	397
671	813	397
672	814	395
673	816	394
674	817	393
675	818	392
676	820	391
677	934	443
678	934	441
679	934	439
680	935	438
681	939	438
682	940	436
683	941	434
684	941	433
685	942	431
686	942	429
687	946	429
688	947	427
689	948	426
690	949	424
691	950	423
692	951	421
693	958	422
694	959	421
695	960	419
696	966	420
697	969	419
698	970	417
699	972	416
700	974	415
701	976	414
702	1083	457
703	1084	456
704	1085	454
705	1087	452
706	1088	451
707	1089	449
708	1090	447
709	1091	445
710	1092	443
711	1092	442
712	1096	441
713	1097	439
714	1097	437
715	1098	435
716	1098	433
717	1099	431
718	1099	429
719	1100	427
720	1102	426
721	1103	424
722	1103	422
723	1104	420
724	1104	419
725	1105	417
726	1106	415
727	1107	413
728	1110	412
729	1111	410
730	1111	409
731	1112	407
732	1112	405
733	1113	403
734	1114	401
735	1116	400
736	1118	399
737	1119	397
738	1120	395
739	1123	394
740	1125	393
741	1126	391
742	1127	390
743	1130	389
744	1131	387
745	1132	385
746	1133	383
747	1134	382
748	1135	380
749	1137	379
750	1148	380
751	1149	379
752	1151	377
753	1153	376
754	1154	374
755	1155	372
756	1156	371
757	1158	369
758	1159	368
759	1160	366
760	1161	364
761	1161	362
762	1162	361
763	1163	359
764	1164	357
765	1165	356
766	1165	354
767	1166	352
768	1167	350
769	1167	348
770	1168	347
771	1170	345
772	1171	344
773	1172	342
774	1172	340
775	1173	338
776	1173	336
777	1174	335
778	1174	333
779	1175	331
780	1175	329
781	1176	328
782	1179	326
783	1180	325
784	1181	323
785	1183	322
786	1184	320
787	1185	318
788	1186	317
789	1187	315
790	1187	313
791	1190	312
792	1191	310
793	1192	309
794	1192	307
795	1193	305
796	1194	304
797	1195	302
798	1196	301
799	1197	299
800	1198	297
801	1198	296
802	1200	294
803	1202	293
804	1205	291
805	1206	290
806	1207	288
807	1208	287
808	1210	285
809	1211	284
810	1212	282
811	1213	280
812	1213	279
813	1214	277
814	1214	275
815	1215	274
816	1215	272
817	1216	270
818	1217	268
819	1217	267
820	1218	265
821	1219	264
822	1220	262
823	1223	261
824	1225	259
825	1226	258
826	1230	257
827	1230	255
828	1231	254
829	1231	252
830	1232	250
831	1232	248
832	1233	247
833	1233	245
834	1234	243
835	1237	242
836	1238	241
837	1240	239
838	1241	238
839	1242	236
840	1242	234
841	1242	233
842	1243	231
843	1243	229
844	1244	228
845	1245	226
846	1245	225
847	1246	223
848	1247	221
849	1248	220
850	1249	218
851	1250	217
852	1250	215
853	1251	213
854	1252	212
855	1253	210
856	1254	209
857	1254	207
858	1255	206
859	1256	204
860	1257	202
861	1261	201
862	1267	201
863	1268	199
864	1269	198
865	1270	196
866	1270	194
867	1271	193
868	1271	191
869	1272	190
870	1272	188
871	1274	187
872	1276	185
873	1284	185
874	1285	183
875	1286	182
876	1288	180
877	1290	179
878	1291	177
879	1300	177
880	1302	175
881	1303	174
882	1306	173
883	1326	174
884	1328	172
885	1332	171
886	1333	169
887	1333	168
888	1334	166
889	1337	165
890	1339	163
891	1344	162
892	1345	161
893	1362	161
894	1363	159
895	1363	158
896	1364	156
897	1386	157
898	1387	155
899	1389	154
900	1414	155
901	1415	153
902	1416	152
903	1417	150
904	1419	148
905	1420	147
906	1420	145
907	1421	144
908	1425	142
909	1430	141
910	1431	139
911	1433	138
912	1433	136
913	1435	135
914	1436	133
915	1436	131
916	1437	130
917	1438	128
918	1439	126
919	1440	125
920	1441	123
921	1442	122
922	1442	120
923	1443	118
924	1445	117
925	1445	115
926	1446	113
927	1448	112
928	1449	110
929	1449	109
930	1450	107
931	1451	105
932	1453	104
933	1455	102
934	1460	101
935	1461	99
936	1462	98
937	1464	96
938	1465	95
939	1466	93
940	1466	91
941	1467	90
942	1468	88
943	1471	87
944	1473	85
945	1474	84
946	1476	82
947	1478	81
948	1480	79
949	1481	77
950	1483	76
951	1489	75
952	1490	73
953	1491	71
954	1492	70
955	1493	68
956	1500	67
957	1502	65
958	1503	64
959	1504	62
960	1505	61
961	1508	59
962	1509	58
963	1510	56
964	1511	54
965	1512	53
966	1514	51
967	1514	50
968	1526	48
969	1528	47
970	1545	46
971	1547	44
972	1552	43
973	1553	41
974	1557	39
975	1558	38
976	1559	36
977	1560	35
978	1561	33
979	1562	31
980	1563	30
981	1564	28
982	1564	27
983	1566	25
984	1568	23
985	1571	22
986	1572	20
987	1572	19
988	1579	17
989	1580	15
990	1581	14
991	1583	12
992	1584	11
993	1587	9
994	1591	7
995	1592	6
996	1593	4
997	1600	3
998	1601	1
999	1602	0
